fltmgrVersion,FltGlobalsOffset,FrameList,FrameList_rList,_FLTP_FRAME.Links,_FLTP_FRAME.RegisteredFilters,FilterListHead,FilterListCount,_FLT_OBJECT.PrimaryLink,_FLT_FILTER.Name,_FLT_FILTER.ConnectionList,mList,mCount,MaxConnections,NumberOfConnections,srvPortCookie,MessageNotify,DisconnectNotify,ConnectNotify
a74ad4d7624fb741b7008711336b37f3a27d96c3ef6361c107155b3bdfd8592b,29600,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
2835aa5822cb5aa5ee78804457b418acb4340f526b9c7aa1ec9c1becf3074a45,2a540,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
a74ad4d7624fb741b7008711336b37f3a27d96c3ef6361c107155b3bdfd8592b,29600,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
4a96ebdfe8268ab77dbbc72eab3d58d4c374bc269f1c0c06690a3c6a4a70d552,29600,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
74119803d35e3c3cc349b44c6cd9edf6b797f88584b847f0bf9eed542719b86b,25500,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
6509612dec82ea74614b5c9a7b432305a1a468c97b88bed9e141df2929b621b1,25500,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
fcf4eb726d00f5a17dd66c81cfda49427281c94cf9ca2008397d591aea61ae05,254c0,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
4cacee29e6a9d59892e9e22a8bd1fdc4e0d1ab4aa8f98f25041298c8d9685bd3,25500,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
22e874eea41c332cad363a21ce8db7006c2642434f8a0a463c51adef46d93113,254c0,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
15d07047ce5461b82e7549edfa5398fb96d2397c4fe88fae5f5c404d8702063e,25500,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
6b751cfc394154a6487c5ab011aec2f9c656a29b11c03bd859f8d55551d84fb3,25500,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
570098b33179b06bc807ffe2227c1e1afee0d354a23db10ecd270820fa69f3d6,25500,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
33c7addceca866dc680ddc746f2ee4e0851308d7a1201a98cabeee18af55d90c,25500,58,68,8,48,68,78,10,38,208,38,48,40,3c,30,20,18,10
